star_id,star_name,constellation_id,ra,dec
40526,Tarf,Cnc,124.12895281,9.18566355
44066,Acubens,Cnc,134.62165396,11.85777235
100064,Algedi,Cap,304.5134105,-12.54485879
100345,Dabih,Cap,305.25269233,-14.78140101
104139,,Cap,316.48658075,-17.23271097
105515,,Cap,320.56157235,-16.83455537
106985,Nashira,Cap,325.02225947,-16.66225299
107556,Deneb Algedi,Cap,326.7595222,-16.12656594
105881,Yen,Cap,321.66678228,-22.41137849
102485,,Cap,311.5240256,-25.27051702
102978,,Cap,312.95540128,-26.91912619
45238,Miaplacidus,Car,138.30100317,-69.71747241
50099,,Car,153.43449551,-70.03792176
52419,,Car,160.73927812,-64.39447946
52468,,Car,160.88461524,-60.56662719
54463,,Car,167.14748177,-58.97504176
53253,,Car,163.37319221,-58.8532647
51232,,Car,156.96977096,-58.7394087
50371,,Car,154.27085573,-61.33231981
45556,Aspidiske,Car,139.27261829,-59.27526115
42568,,Car,130.15431359,-59.76101479
41037,Avior,Car,125.62860249,-59.50953781
30438,Canopus,Car,95.9878779,-52.69571787
45080,,Car,137.74210507,-58.96693013
31685,,Pup,99.44029877,-43.19592397
39429,Naos,Pup,120.89612568,-40.00318834
8886,Segin,Cas,28.59868112,63.67014682
6686,Ruchbah,Cas,21.45251246,60.23540367
4427,Navi,Cas,14.17708782,60.71674955
3179,Schedar,Cas,10.1266135,56.53740925
746,Caph,Cas,2.2920403,59.15021806
71683,Rigil Kentaurus,Cen,219.92040813,-60.83514522
68702,Hadar,Cen,210.9560192,-60.37297887
66657,,Cen,204.9719697,-53.46636266
68002,Alnair,Cen,208.88514577,-47.28826623
68282,,Cen,209.66988043,-44.80353128
67472,,Cen,207.4041992,-42.47368514
67464,,Cen,207.37623896,-41.68765986
65936,,Cen,202.76111844,-39.40727978
65109,,Cen,200.15027327,-36.71208083
68933,Menkent,Cen,211.67218593,-36.36869558
71352,,Cen,218.87688121,-42.15774569
73334,Ke Kwan,Cen,224.79041163,-42.10414165
61932,Muhlifain,Cen,190.38002117,-48.95988559
60823,,Cen,187.01004828,-50.23060494
59196,,Cen,182.08976522,-50.72240992
56480,,Cen,173.69046629,-54.26413157
56561,,Cen,173.94553439,-63.01982482
109492,,Cep,332.71359145,58.20124993
112724,,Cep,342.42046746,66.20071079
106032,Alfirk,Cep,322.1648953,70.5606948
105199,Alderamin,Cep,319.64408995,62.58545515
116727,Errai,Cep,354.83742562,77.63196666
64241,Diadem,Com,197.49812571,17.52911197
64394,,Com,197.97051114,27.87603771
60742,Al Dafirah,Com,186.73469865,28.26861971
61317,Chara,CVn,188.4378855,41.35676763
63125,Cor Caroli,CVn,194.00767083,38.31824601
28380,Mahasim,Aur,89.93015902,37.21276398
28360,Menkalinan,Aur,89.88237269,44.94743488
24608,Capella,Aur,79.17206466,45.99902905
23453,Saclateni,Aur,75.61950031,41.07588922
23015,Hassaleh,Aur,74.24840149,33.16613574
25428,Elnath,Tau,81.57290832,28.60787362
30277,,Col,95.52852188,-33.43627292
29807,Kurud II,Col,94.13806383,-35.14073125
28199,,Col,89.38421622,-35.28330684
27628,Wazn,Col,87.73980343,-35.76929221
28328,,Col,89.78662737,-42.81510752
26634,Phact,Col,84.91224966,-34.07404939
25859,,Col,82.80306422,-35.4704359
71908,,Cir,220.6278545,-64.97456951
75323,,Cir,230.84440736,-59.3206982
74824,,Cir,229.37900093,-58.80087875
53740,Alkes,Crt,164.94478697,-18.2990973
54682,Al Sharasif,Crt,167.914526,-22.82560622
55705,,Crt,171.22076361,-17.6840172
55282,,Crt,169.83551156,-14.77904381
55687,,Crt,171.15252261,-10.85938263
56633,,Crt,174.17061877,-9.80225376
58188,,Crt,179.00409833,-17.15080883
57283,,Crt,176.19066278,-18.35061452
91875,,CrA,280.94558777,-38.32331057
92989,,CrA,284.16871122,-37.34318338
93174,,CrA,284.68114159,-37.1070885
93825,,CrA,286.60433093,-37.06275699
94114,Meridiana,CrA,287.36782596,-37.90423953
94160,,CrA,287.50730211,-39.34070658
94005,,CrA,287.08722088,-40.4966377
93542,,CrA,285.77846931,-42.09499432
92953,,CrA,284.07071924,-42.71060177
90887,,CrA,278.08877826,-39.70390962
76127,,CrB,233.23248295,31.35915509
75695,Nusakan,CrB,231.95771591,29.10549183
76267,Alphecca,CrB,233.67162276,26.71491051
76952,,CrB,235.68599233,26.29551427
77512,,CrB,237.3987417,26.06854937
78159,,CrB,239.39709112,26.87802608
78493,,CrB,240.36079437,29.85107826
61174,,Crv,188.01868665,-16.19586548
60965,Algorab,Crv,187.46659681,-16.51509405
59803,Gienah,Crv,183.95194935,-17.54198359
59316,Minkar,Crv,182.53135799,-22.61979213
59199,Alchiba,Crv,182.10313587,-24.72877985
61359,Kraz,Crv,188.59680889,-23.39662293
61084,Gacrux,Cru,187.79137201,-57.11256917
60718,Acrux,Cru,186.64975588,-63.09905674
62434,Mimosa,Cru,191.9304935,-59.68873267
59747,Imai,Cru,183.78648746,-58.74890175
94779,Fawaris I,Cyg,289.27545802,53.36816073
95853,,Cyg,292.42641387,51.72946748
97165,Fawaris,Cyg,296.24350876,45.13069175
100453,Sadr,Cyg,305.55708337,40.25668137
102098,Deneb,Cyg,310.35797281,45.28033431
102488,Aljanah,Cyg,311.55180082,33.96945339
104732,Fawaris III,Cyg,318.23408975,30.22708125
107310,,Cyg,326.03501863,28.74322256
98110,,Cyg,299.07665075,35.08349073
95947,Albireo,Cyg,292.68035521,27.95969502
101421,Aldulfin,Del,308.30318669,11.30333185
101769,Rotanev,Del,309.38695882,14.59520556
101958,Sualocin,Del,309.90939398,15.91205267
102532,Al Salib,Del,311.6646587,16.12477499
102281,Al Ukud,Del,310.86477388,15.07468234
27100,,Dor,86.1934131,-65.73554065
27890,,Dor,88.52458412,-63.09102105
26069,,Dor,83.40631789,-62.48985574
21281,,Dor,68.49882662,-55.04500553
19893,,Dor,64.00621426,-51.48709571
87585,Grumium,Dra,268.3817895,56.87245205
87833,Eltanin,Dra,269.15157428,51.48895101
85670,Rastaban,Dra,262.60823689,52.30135886
85829,Kuma,Dra,263.06616222,55.1728067
94376,Altais,Dra,288.13814594,67.66131702
97433,Tyl,Dra,297.04255738,70.26783536
94648,Athafi II,Dra,288.88872282,73.3552149
89937,Alahakan,Dra,275.25974417,72.73369776
83895,Aldhibah,Dra,257.19677058,65.71463661
80331,Athebyne,Dra,245.99794481,61.51407545
78527,,Dra,240.47376555,58.56443741
75458,Edasich,Dra,231.23243369,58.96602361
68756,Thuban,Dra,211.09760812,64.3758087
61281,,Dra,188.37101045,69.78820988
56211,Giausar,Dra,172.85120192,69.33112154
79509,,Nor,243.36972683,-54.6304129
80000,,Nor,244.96069864,-50.15537919
80582,,Nor,246.79603306,-47.5547357
78639,,Nor,240.80358444,-49.22972085
7588,Achernar,Eri,24.42813208,-57.23665985
9007,,Eri,28.98680221,-51.60958691
10602,,Eri,34.12708462,-51.51211139
11407,,Eri,36.74627095,-47.70382674
12413,,Eri,39.94966511,-42.89163303
12486,,Eri,40.16638218,-39.85530924
13847,Acamar,Eri,44.56548212,-40.30473465
15510,,Eri,49.97176989,-43.07154908
17797,,Eri,57.14926008,-37.62012831
17874,,Eri,57.36367012,-36.20011256
20042,Beemim I,Eri,64.4734105,-33.79833154
20535,Beemim,Eri,66.00902221,-34.0169862
21393,Theemin,Eri,68.88779881,-30.56231068
17651,,Eri,56.71245432,-23.24843785
16611,,Eri,53.44686636,-21.63281573
15474,Angetenar,Eri,49.87904019,-21.7579425
14146,,Eri,45.59830477,-23.62433608
12843,,Eri,41.27492268,-18.5726501
13701,Azha,Eri,44.10668253,-8.89760992
15197,Zibal,Eri,48.95844487,-8.81984039
16537,Ran,Eri,53.23509022,-9.45830604
17378,Rana,Eri,55.81231675,-9.76519869
21444,,Eri,69.07975228,-3.35244801
22109,,Eri,71.37558779,-3.25462486
22701,,Eri,73.22366841,-5.45275582
23875,Cursa,Eri,76.96264165,-5.08626273
23972,Kursi al Jauzah II,Eri,77.28659584,-8.754076
21594,Sceptrum,Eri,69.54529569,-14.30358698
96837,,Sge,295.26222386,17.47612364
97365,,Sge,296.84693825,18.53425889
96757,Sham,Sge,295.02409418,18.01393835
98337,,Sge,299.68911523,19.49209268
98920,,Sge,301.28947767,19.99087724
13147,,For,42.27233094,-32.40628374
14879,Dalim,For,48.01783347,-28.98910634
31681,,Gem,99.42792544,16.39941401
34088,,Gem,106.02723055,20.57029929
35550,,Gem,110.03078875,21.98233983
35350,,Gem,109.5233617,16.54047524
32362,,Gem,101.3226399,12.89605512
36962,,Gem,113.98071676,26.89600305
37740,,Gem,116.1119523,24.39812909
37826,Pollux,Gem,116.33068294,28.02631022
36046,,Gem,111.43198418,27.79828559
34693,,Gem,107.78496456,30.24528088
36850,Castor,Gem,113.65001968,31.88863511
33018,,Gem,103.19725016,33.96136984
32246,,Gem,100.98304103,25.13115545
30883,,Gem,97.24079322,20.21216674
30343,,Gem,95.73996356,22.51385018
29655,,Gem,93.71956913,22.5068238
28734,,Gem,91.03006859,23.26363208
16228,,Cam,52.26722736,59.94033468
18505,,Cam,59.35598132,63.07224922
22783,,Cam,73.51254411,66.34266005
17959,,Cam,57.58948251,71.33236762
25110,,Cam,80.64073935,79.23075694
33160,,CMa,103.54783598,-12.03859248
34045,Muliphein,CMa,105.93955472,-15.63325849
33347,,CMa,104.03427624,-17.05424685
32349,Sirius,CMa,101.28854105,-16.71314306
33977,Al Zara,CMa,105.75613968,-23.83330108
34444,Wezen,CMa,107.09785868,-26.39320762
35037,,CMa,108.70275679,-26.77268606
35904,Aludra,CMa,111.02377104,-29.30311963
33579,Adhara,CMa,104.65644415,-28.97208939
33856,Nganurganity,CMa,105.42979889,-27.93484165
33165,,CMa,103.55436041,-23.92834807
31592,,CMa,99.17082881,-19.25570935
31416,,CMa,98.7640827,-22.96483331
30324,Mirzam,CMa,95.67494722,-17.95591681
32759,,CMa,102.46027267,-32.50848753
30122,Furud,CMa,95.07827961,-30.06337653
67301,Alkaid,UMa,206.8856091,49.31330297
65378,Mizar,UMa,200.98091528,54.92541509
62956,Alioth,UMa,193.50680405,55.95984299
59774,Megrez,UMa,183.85603762,57.0325977
54061,Dubhe,UMa,165.93265337,61.75111903
53910,Merak,UMa,165.45996142,56.38234469
58001,Phecda,UMa,178.45725512,53.69473297
57399,Taiyangshou,UMa,176.51305883,47.77933685
54539,,UMa,167.41608083,44.4985533
50372,Tania Borealis,UMa,154.27469481,42.91446775
50801,Tania Australis,UMa,155.58251341,41.4994333
48402,Alhaud VII,UMa,148.0265014,54.06428572
46853,Alhaud V,UMa,143.21802163,51.67860217
44471,Alkaphrah,UMa,135.90649443,47.15665938
44127,Talitha,UMa,134.80349431,48.0423495
48319,Alhaud VI,UMa,147.7487155,59.03910451
41704,Muscida,UMa,127.56679237,60.71843103
46733,Alhaud IV,UMa,142.88154034,63.06179549
114131,,Gru,346.71986837,-43.52032436
110997,,Gru,337.31730887,-43.4955543
109268,Alnair,Gru,332.05781852,-46.96061595
112122,Tiaki,Gru,340.66639547,-46.8845658
114421,,Gru,347.58928238,-45.24664761
113638,,Gru,345.22031025,-52.75410554
112623,,Gru,342.13832136,-51.31670358
109111,,Gru,331.52876536,-39.54304883
108085,Aldhanab,Gru,328.48189257,-37.36482314
86414,,Her,264.8662182,46.00632235
87808,,Her,269.06324411,37.25052159
85112,,Her,260.9207206,37.14592405
84606,,Her,259.41785766,37.29134342
84380,,Her,258.76189269,36.80915546
81833,,Her,250.7239106,38.9224609
81126,,Her,248.52578873,42.436896
79992,,Her,244.93519967,46.31327099
77760,,Her,238.16747676,42.44998794
81693,Rutilicus,Her,250.3228214,31.60188678
80816,Kornephoros,Her,247.5552571,21.48964873
80170,Nasak Shamiya III,Her,245.48018195,19.15302179
83207,,Her,255.07252587,30.9263392
85693,Maasym,Her,262.68457501,26.11060441
84379,Sarin,Her,258.75801747,24.8395873
86974,,Her,266.6154953,27.72249916
87933,,Her,269.44096081,29.24792539
88794,,Her,271.88562808,28.76247029
19747,,Hor,63.50033879,-42.29387282
12484,,Hor,40.16491588,-54.54992418
14240,,Hor,45.90376559,-59.73761999
42799,Minazal II,Hya,130.80619301,3.3986656
42402,Minchir,Hya,129.6893702,3.34147483
42313,Minazal I,Hya,129.41419757,5.70379857
43109,Ashlesha,Hya,131.6943589,6.41890803
43234,Minazal IV,Hya,132.10825307,5.83788491
43813,Minazal V,Hya,133.84868675,5.94552781
45336,,Hya,138.59080474,2.31502504
46776,Ukdah II,Hya,142.99556099,-1.18465415
46509,Ukdah I,Hya,142.28682802,-2.76895598
46390,Alphard,Hya,141.89688204,-8.65868307
45751,,Hya,139.94332854,-11.97488211
47452,Al Sharasif I,Hya,145.07657939,-14.33224523
48356,Zhang,Hya,147.86951018,-14.84654996
49841,,Hya,152.6474869,-12.35383947
51069,,Hya,156.52293759,-16.83609582
52943,,Hya,162.40596684,-16.19413227
54204,,Hya,166.33346935,-27.29359542
56343,,Hya,173.25107925,-31.85752392
57936,,Hya,178.22733851,-33.90813024
64166,,Hya,197.26367915,-23.11797272
64962,,Hya,199.73022254,-23.17141256
68895,,Hya,211.59278732,-26.68201863
69415,,Hya,213.19180448,-27.2611
70306,,Hya,215.77461576,-27.75373397
72571,,Hya,222.57277823,-27.96021967
2021,,Hyi,6.41334187,-77.25503494
17678,,Hyi,56.80929757,-74.23924238
12394,,Hyi,39.89676533,-68.26694753
11001,,Hyi,35.43759554,-68.65942375
9236,,Hyi,29.69113173,-61.56992473
105319,,Ind,319.96618277,-53.449264
101772,Persian,Ind,309.39162358,-47.29166243
103227,,Ind,313.70241499,-58.45409481
109937,,Lac,333.99237584,37.74873468
111104,,Lac,337.62192345,43.12338982
111022,,Lac,337.38259511,47.70689496
110609,,Lac,336.12914858,49.47640071
110538,,Lac,335.89015152,52.22949969
111169,,Lac,337.82239908,50.28244982
29651,,Mon,93.71390174,-6.27472754
34769,,Mon,107.96608466,-0.49278066
30867,,Mon,97.20447391,-7.03305166
32533,,Mon,101.83268471,8.03728286
30419,,Mon,95.94207343,4.59283885
31216,,Mon,98.22595667,7.33297908
31978,,Mon,100.24442156,9.89576028
30665,,Mon,96.66333844,13.10142087
39211,,Mon,120.30540123,-1.39242395
39863,,Mon,122.1485734,-2.98377686
37447,,Mon,115.31198626,-9.55108324
28910,,Lep,91.53889177,-14.93528631
28103,,Lep,89.10132629,-14.16803817
27288,,Lep,86.73895722,-14.82194738
25985,Arneb,Lep,83.18255807,-17.82229214
24305,,Lep,78.23280447,-16.2054292
27654,Arsh al Jauzah,Lep,87.82980354,-20.87751377
27072,Kursi al Jabbar,Lep,86.11656244,-22.44748675
25606,Nihal,Lep,82.06135954,-20.759232
23685,,Lep,76.36521684,-22.37085672
24845,,Lep,79.89385844,-13.17677717
24327,,Lep,78.30785402,-12.94128872
24244,,Lep,78.07453069,-11.86914301
24873,,Lep,79.99596126,-12.31560464
57632,Denebola,Leo,177.2661596,14.57233678
54879,Chertan,Leo,168.56017066,15.42976284
49669,Regulus,Leo,152.09358042,11.96719519
49583,Al Jabhah,Leo,151.83313986,16.76266561
50583,Algieba,Leo,154.99234103,19.84186021
54872,Zosma,Leo,168.52671705,20.52403382
50335,Adhafera,Leo,154.17251782,23.41732831
48455,Rasalas,Leo,148.19148996,26.00708518
47908,Algenubi,Leo,146.46292656,23.77427817
77634,,Lup,237.73975775,-33.62710497
78970,,Lup,241.81739542,-36.75554005
78384,,Lup,240.03058533,-38.39664104
76297,,Lup,233.78525188,-41.16669506
75141,,Lup,230.34306943,-40.64745903
75177,,Lup,230.45181859,-36.26116746
73273,KeKouan,Lup,224.63314152,-43.13386704
76552,,Lup,234.51384319,-42.5674851
74395,,Lup,228.07167993,-52.09907475
71860,,Lup,220.48239095,-47.38814121
71536,,Lup,219.47187988,-49.42575766
70576,,Lup,216.54500683,-45.37926059
45860,,Lyn,140.26441179,34.39252548
45688,,Lyn,139.71111414,36.80289789
44700,,Lyn,136.63245005,38.4522504
44248,,Lyn,135.16146546,41.78344222
41075,Alsciaukat,Lyn,125.70887553,43.18837241
36145,,Lyn,111.67858748,49.21164499
33449,,Lyn,104.31916037,58.42305978
30060,,Lyn,94.90579434,59.01090542
91262,Vega,Lyr,279.23410825,38.78299326
91971,Nasr Alwaki I,Lyr,281.19306655,37.60505015
92420,Sheliak,Lyr,282.51997467,33.36267802
93194,Sulafat,Lyr,284.73593565,32.68955294
92791,,Lyr,283.626203,36.89860495
51172,,Ant,156.78814978,-31.0678023
48926,,Ant,149.71808381,-35.89093308
105140,,Mic,319.48436055,-32.17248548
103738,,Mic,315.32275694,-32.25776693
102831,,Mic,312.49199826,-33.7796729
62322,,Mus,191.57029068,-68.10809406
57363,,Mus,176.40236385,-66.72884361
61199,,Mus,188.11712936,-72.13297568
61585,,Mus,189.29618221,-69.13553368
107089,,Oct,325.36863468,-77.38946227
112405,,Oct,341.51551289,-81.38161726
70638,,Oct,216.73225343,-83.66785298
72370,,Aps,221.96552535,-79.0447123
81065,,Aps,248.36443325,-78.89695904
81852,,Aps,250.77258116,-77.51657176
86032,Rasalhague,Oph,263.73335361,12.56057593
86742,Cebalrai,Oph,265.8682371,4.56691702
84012,Sabik,Oph,257.59442738,-15.72514768
83000,,Oph,254.41779403,9.37505651
79882,Yed Posterior,Oph,244.58017054,-4.69260821
81377,Saik,Oph,249.28970833,-10.56715177
85755,,Oph,262.85396162,-23.96258015
26727,Alnitak,Ori,85.18968667,-1.94257852
26311,Alnilam,Ori,84.05338544,-1.20191724
25930,Mintaka,Ori,83.0016655,-0.29909343
29434,,Ori,93.0136509,16.13044679
29426,,Ori,92.98498649,14.20881433
28716,,Ori,90.97993188,20.13845834
27913,,Ori,88.59618362,20.27641465
29038,,Ori,91.89300744,14.76852309
28614,,Ori,90.59579379,9.6473678
27989,Betelgeuse,Ori,88.79287149,7.40703653
27366,Saiph,Ori,86.93911657,-9.66960181
24436,Rigel,Ori,78.63446385,-8.20163958
25336,Bellatrix,Ori,81.28278339,6.34973457
26207,Meissa,Ori,83.78449086,9.93416302
22449,Tabit,Ori,72.45890914,6.96124728
22549,Al Taj II,Ori,72.80152507,5.60510135
22730,,Ori,73.34481413,2.508265
22797,Al Taj III,Ori,73.56289884,2.4406716
23123,Al Taj V,Ori,74.63709524,1.7140348
22509,Al Taj I,Ori,72.65300896,8.90025307
22845,Al Taj IV,Ori,73.72376741,10.15114489
100751,Peacock,Pav,306.41187379,-56.73488065
105858,,Pav,321.61038372,-65.36814437
102395,,Pav,311.23981532,-66.20323826
99240,,Pav,302.17441726,-66.1793211
98495,,Pav,300.14747184,-72.91018427
91792,,Pav,280.75889082,-71.42772851
93015,,Pav,284.23766931,-67.23353533
92609,,Pav,283.05431913,-62.18756068
90098,,Pav,275.80675357,-61.49390498
88866,,Pav,272.14496204,-63.66804844
86929,,Pav,266.43334328,-64.72373456
1067,Algenib,Peg,3.30895847,15.1836161
113963,Markab,Peg,346.19007056,15.20536753
113881,Scheat,Peg,345.94305579,28.08245431
112158,Matar,Peg,340.75053559,30.22130744
109352,,Peg,332.30698197,33.17249776
112748,Sadalbari,Peg,342.50041798,24.60168465
112440,Sadalnazi,Peg,341.63267659,23.56567915
109176,,Peg,331.75197737,25.34504611
107354,,Peg,326.161267,25.64500303
112447,Suudalnujum,Peg,341.67267262,12.17408382
112029,Homam,Peg,340.3653119,10.83139097
109427,Biham,Peg,332.54924876,6.19778923
107315,Enif,Peg,326.0464175,9.87500758
32607,,Pic,102.04807108,-61.94197967
27530,,Pic,87.45657006,-56.16648846
27321,,Pic,86.82118072,-51.06671341
17448,Atik,Per,56.07969333,32.28827337
18246,Atik,Per,58.5329938,31.88365779
18614,Menkib,Per,59.7412487,35.79102722
18532,,Per,59.46342225,40.01027312
17358,,Per,55.7311752,47.78765317
15863,Mirfak,Per,51.08061917,49.86124305
14328,,Per,46.199126,53.50645015
13268,Miram,Per,42.67413627,55.89552946
14576,Algol,Per,47.04220893,40.95565071
14354,Gorgonea Tertia,Per,46.29373783,38.8405331
13254,,Per,42.64547597,38.31890843
104521,,Equ,317.58529652,10.13194869
104858,,Equ,318.61995916,10.00771876
105570,,Equ,320.72325718,6.81111327
104987,Kitalpha,Equ,318.95582018,5.24807397
37279,Procyon,CMi,114.82724202,5.22750758
36188,Gomeisa,CMi,111.78780104,8.28940883
53229,Praecipua,LMi,163.3276665,34.21556623
51233,,LMi,156.97121876,36.70747813
49593,,LMi,151.85718822,35.24469196
46952,,LMi,143.55573745,36.39761341
95771,Anser,Vul,292.17671216,24.6651646
98543,,Vul,300.27504215,27.75356397
11767,Gwiazda Polarna,UMi,37.946143,89.26413778
85822,Yildun,UMi,263.05373781,86.58632948
82080,Circitores,UMi,251.49233206,82.03725012
77055,Akfa Farkadain,UMi,236.01443325,77.79449896
79822,Anwa Farkadain,UMi,244.37708764,75.75470388
75097,Pherkad,UMi,230.18228839,71.83397304
72607,Kochab,UMi,222.6766478,74.15547618
5348,Wurren,Phe,17.09608393,-55.2458325
5165,Alrial III,Phe,16.52128448,-46.71849569
2072,,Phe,6.55048403,-43.67990951
7083,,Phe,22.81242304,-49.07307705
8837,,Phe,28.41174873,-46.30244641
6867,Alrial V,Phe,22.09142395,-43.31772907
2081,Ankaa,Phe,6.5702816,-42.30512119
765,,Phe,2.35224983,-45.74698832
4889,,Psc,15.70452754,31.80433662
5742,,Psc,18.43722969,24.58376439
6193,,Psc,19.8665742,27.2640869
7097,Alpherg,Psc,22.87080767,15.34583101
8198,Torcular,Psc,26.34828635,9.15764141
9487,Alrescha,Psc,30.51166985,2.76376128
8833,,Psc,28.38890184,3.18747844
7884,,Psc,25.35794833,5.48760467
7007,,Psc,22.54559633,6.14393327
4906,,Psc,15.73606599,7.89007267
3760,,Psc,12.07226888,7.2999198
1645,,Psc,5.14943426,8.19024825
118268,,Psc,359.82750958,6.86359368
116771,,Psc,354.98675128,5.62735418
117245,,Psc,356.59806985,3.48687185
116928,,Psc,355.51200755,1.78041748
115738,,Psc,351.73293869,1.25583751
114971,,Psc,349.28955639,3.28224514
115227,,Psc,350.08557152,5.38145173
115830,,Psc,351.99236594,6.37909729
113368,Fomalhaut,PsA,344.41177299,-29.6218368
111954,,PsA,340.16385643,-27.04361507
108661,,PsA,330.20922935,-28.45373748
107608,,PsA,326.93405548,-30.8983061
109422,,PsA,332.53534843,-32.54844044
111188,Fum al Hui,PsA,337.87620651,-32.34602794
113246,,PsA,343.98704989,-32.53970217
37504,,Vol,115.45498311,-72.60613526
34481,,Vol,107.18676973,-70.49919404
39794,,Vol,121.98267009,-68.6171364
35228,,Vol,109.20762816,-67.95717269
41312,,Vol,126.4343594,-66.13652029
44382,,Vol,135.61166181,-66.39584362
39757,Tureis,Pup,121.88625905,-24.30443679
38146,,Pup,117.25706891,-24.91224357
35264,,Pup,109.28568388,-37.09748688
32768,,Pup,102.48390363,-50.61439971
36377,,Pup,112.30782593,-43.30189094
19780,,Ret,63.60596318,-62.47397892
19921,,Ret,64.12118135,-59.30174863
18597,,Ret,59.68640628,-61.40015061
17440,,Ret,56.04814575,-64.8070942
89931,Kaus Media,Sgr,275.24842359,-29.82803949
90496,Kaus Borealis,Sgr,276.99279012,-25.42124724
89642,Hamalwarid,Sgr,274.40720579,-36.7612811
90185,Kaus Australis,Sgr,276.04310945,-34.38431461
88635,Alnasl,Sgr,271.45218573,-30.42365016
87072,,Sgr,266.89011254,-27.83076251
93506,Ascella,Sgr,285.65301241,-29.88011461
92041,Namalsadirah I,Sgr,281.41397072,-26.9907792
89341,Polis,Sgr,273.44086939,-21.05883052
93864,Namalsadirah II,Sgr,286.73517625,-27.66981476
92855,Nunki,Sgr,283.81631936,-26.29659425
93085,,Sgr,284.43241354,-21.10662351
93683,,Sgr,286.1705576,-21.74135444
94820,,Sgr,289.40868975,-18.95288201
